timestamp,temperature,humidity,pressure_hi,pressure_lo,gas_hi,gas_lo,wind_speed,wind_direction,motor_voltage,motor_current,motor_power_raw,motor_control
2026-07-30 15:29:58,3391,5173,1,34187,1,34187,1,34187,10,8,87,1
2026-07-30 15:30:01,3391,5173,1,34187,1,34187,1,34187,10,10,104,1
2026-07-30 15:30:03,3391,5173,1,34187,1,34187,1,34187,10,11,121,1
2026-07-30 15:30:05,3391,5173,1,34187,1,34187,1,34187,10,7,83,1
2026-07-30 15:30:07,3391,5173,1,34187,1,34187,1,34187,10,9,105,1
2026-07-30 15:30:09,3391,5173,1,34187,1,34187,1,34187,10,10,117,1
2026-07-30 15:30:11,3391,5173,1,34187,1,34187,1,34187,10,11,113,1
2026-07-30 15:30:13,3391,5173,1,34187,1,34187,1,34187,10,9,101,1
2026-07-30 15:30:16,3391,5173,1,34187,1,34187,1,34187,10,11,122,1
2026-07-30 15:30:18,3391,5173,1,34187,1,34187,1,34187,10,9,97,1
2026-07-30 15:30:20,3391,5173,1,34187,1,34187,1,34187,10,10,107,1
2026-07-30 15:30:22,3391,5173,1,34187,1,34187,1,34187,10,7,79,1
2026-07-30 15:30:24,3391,5173,1,34187,1,34187,1,34187,10,8,90,1
2026-07-30 15:30:26,3391,5173,1,34187,1,34187,1,34187,10,11,127,1
2026-07-30 15:30:29,3391,5173,1,34187,1,34187,1,34187,10,7,83,1
2026-07-30 15:30:31,3391,5173,1,34187,1,34187,1,34187,10,7,81,1
2026-07-30 15:30:33,3391,5173,1,34187,1,34187,1,34187,10,7,81,1
2026-07-30 15:30:35,3391,5173,1,34187,1,34187,1,34187,10,9,94,1
2026-07-30 15:30:37,3391,5173,1,34187,1,34187,1,34187,10,11,113,1
2026-07-30 15:30:39,3391,5173,1,34187,1,34187,1,34187,10,7,84,1
2026-07-30 15:30:41,3391,5173,1,34187,1,34187,1,34187,10,11,122,1
2026-07-30 15:30:44,3391,5173,1,34187,1,34187,1,34187,10,10,114,1
2026-07-30 15:30:46,3391,5173,1,34187,1,34187,1,34187,10,10,111,1
2026-07-30 15:30:48,3391,5173,1,34187,1,34187,1,34187,10,8,93,1
2026-07-30 15:30:50,3391,5173,1,34187,1,34187,1,34187,10,10,113,1
2026-07-30 15:30:52,3391,5173,1,34187,1,34187,1,34187,10,11,126,1
